Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s),"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,How satisfied are you with the available meal plan options?,"If the 2020 Democratic primary were held today, which candidate would you vote for?","Taking all things together, how happy would you say you are?",What do you think is the most important issue facing this country today?,How safe do you feel outside on campus after dark?,How safe do you feel outside in areas surrounding campus after dark? (incl. Thayer Street) ,How satisfied are you with your current housing situation?,How often do you use an E-cigarette (e.g. JUUL)?,What type of romantic or sexual relationship are you in right now?,What type of romantic or sexual relationship do you want right now?
Male,First-year,"Grants, covering all costs",No,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Elizabeth Warren,Somewhat happy,Gap between rich and poor,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Sophomore,None,No,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,Yes,On campus,No opinion,No opinion,Somewhat dissatisfied,Elizabeth Warren,Very happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,None,No,Bisexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,I am unsure,Very happy,Environment/Climate change,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,First-year,"Grants, covering all costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,Yes,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,I am unsure,Somewhat happy,Race relations/Racism,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Do not know
Male,Senior,None,Yes,Heterosexual,White,Life sciences,Yes,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Elizabeth Warren,Very happy,Race relations/Racism,Somewhat safe,Very safe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Sophomore,"Grants, covering some costs",No,Bisexual,Asian,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Strongly disapprove,Somewhat disapprove,Very dissatisfied,Bernie Sanders,Not very happy,Healthcare,Somewhat unsafe,Somewhat unsafe,Somewhat unsatisfied,Never,Not in any kind of relationship,Do not know
Female,First-year,None,No,Heterosexual,Asian,Humanities/arts,Yes,No,International,No,On campus,No opinion,No opinion,Very dissatisfied,I am ineligible to vote,Somewhat happy,Current government leadership,Somewhat unsafe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,International,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat satisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Somewhat unsafe,Somewhat unsafe,Very satisfied,Never,Other,Do not know
Male,First-year,"Grants, covering some costs",No,Heterosexual,Black,"Life sciences, Physical sciences (incl. math, CS)",No,Yes,Domestic,No,On campus,No opinion,No opinion,Very dissatisfied,Cory Booker,Somewhat happy,Gap between rich and poor,Somewhat unsafe,Somewhat unsafe,Somewhat unsatisfied,Never,Consistent hook-ups with one other person,Consistent hook-ups with one other person
Female,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Consistent hook-ups with one other person,Do not know
Male,Senior,"Grants, covering some costs",No,Bisexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,Off campus,No opinion,No opinion,Somewhat dissatisfied,Andrew Yang,Very happy,Environment/Climate change,Somewhat safe,Somewhat safe,Very satisfied,Never,Other,Other
Female,Sophomore,"Grants, covering all costs",Yes,Heterosexual,"White, Black",Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Elizabeth Warren,Somewhat happy,Current government leadership,Somewhat safe,Somewhat safe,Somewhat unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Very satisfied,Andrew Yang,Very happy,Environment/Climate change,Very safe,Very safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Junior,None,No,Heterosexual,White,"Business (BEO or econ), Social sciences (not incl. BEO or econ)",Yes,No,Domestic,No,On campus,Somewhat approve,Somewhat disapprove,No opinion,Joe Biden,Somewhat happy,Current government leadership,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Junior,"Grants, covering some costs",No,Bisexual,"Asian, Hispanic","Humanities/arts, Business (BEO or econ)",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat dissatisfied,Bernie Sanders,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Casual hook-ups with multiple people,Exclusive relationship with one other person
Female,Junior,"Grants, covering some costs",No,Heterosexual,White,Business (BEO or econ),Yes,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,Bernie Sanders,Very happy,Gap between rich and poor,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,No,Heterosexual,White,Life sciences,No,No,Domestic,No,On campus,Strongly approve,No opinion,Very satisfied,I am unsure,Somewhat happy,Gun control,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,First-year,None,No,Bisexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat satisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Consistent hook-ups with one other person
Female,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Business (BEO or econ)",No,No,International,No,On campus,Strongly approve,Somewhat approve,Somewhat satisfied,I am ineligible to vote,Very happy,Environment/Climate change,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Consistent hook-ups with one other person
Female,Sophomore,"Grants, covering some costs",No,Bisexual,Hispanic,Life sciences,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Immigration,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Junior,"Grants, covering some costs",Yes,Bisexual,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Very dissatisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Casual hook-ups with multiple people,Casual hook-ups with multiple people
Male,Senior,"Grants, covering some costs",Yes,Heterosexual,Black,Social sciences (not incl. BEO or econ),No,No,International,No,On campus,No opinion,No opinion,Somewhat satisfied,I am ineligible to vote,Somewhat happy,Gun control,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Exclusive relationship with multiple people,Exclusive relationship with one other person
Female,Junior,"Grants, covering some costs",No,Heterosexual,Hispanic,Humanities/arts,No,Yes,Domestic,No,On campus,Somewhat approve,No opinion,Very dissatisfied,Elizabeth Warren,Somewhat happy,Healthcare,Somewhat safe,Somewhat unsafe,Somewhat unsatisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,First-year,None,No,Heterosexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Pete Buttigieg,Very happy,Environment/Climate change,Very safe,Very safe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Junior,None,No,Gay,White,Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Very dissatisfied,Elizabeth Warren,Somewhat happy,Current government leadership,Unsure,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Senior,"Grants, covering some costs",No,Heterosexual,White,Life sciences,No,No,Domestic,No,Off campus,No opinion,Somewhat disapprove,Very dissatisfied,I am unsure,Not very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Daily,Consistent hook-ups with one other person,Exclusive relationship with one other person
Male,Senior,"Grants, covering some costs",No,Heterosexual,White,Humanities/arts,Yes,No,Domestic,No,Off campus,Somewhat disapprove,No opinion,Somewhat dissatisfied,Bernie Sanders,Somewhat happy,Poverty/Homelessness,Very safe,Somewhat safe,Somewhat satisfied,Never,Consistent hook-ups with one other person,Casual hook-ups with multiple people
Female,Junior,None,No,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat satisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Very safe,Somewhat safe,Somewhat unsatisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Andrew Yang,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,Yes,Heterosexual,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,Strongly approve,Somewhat approve,Very dissatisfied,Bernie Sanders,Very happy,Current government leadership,Somewhat unsafe,Very unsafe,Very unsatisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Junior,"Grants, covering all costs",No,Heterosexual,Hispanic,Life sciences,No,Yes,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,I am unsure,Somewhat happy,Current government leadership,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Senior,None,No,Heterosexual,White,"Humanities/arts, Business (BEO or econ)",No,No,International,No,Off campus,Somewhat approve,Somewhat approve,Very dissatisfied,Kamala Harris,Very happy,Healthcare,Somewhat safe,Somewhat safe,Very satisfied,Daily,Exclusive relationship with one other person,Exclusive relationship with one other person
