Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s),"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,How satisfied are you with the available meal plan options?,"If the 2020 Democratic primary were held today, which candidate would you vote for?","Taking all things together, how happy would you say you are?",What do you think is the most important issue facing this country today?,How safe do you feel outside on campus after dark?,How safe do you feel outside in areas surrounding campus after dark? (incl. Thayer Street) ,How satisfied are you with your current housing situation?,How often do you use an E-cigarette (e.g. JUUL)?,What type of romantic or sexual relationship are you in right now?,What type of romantic or sexual relationship do you want right now?
Female,Sophomore,"Grants, covering some costs",Yes,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Very satisfied,Beto O'Rourke,Somewhat happy,Current government leadership,Somewhat safe,Somewhat safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,None,Yes,Bisexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Very dissatisfied,Joe Biden,Somewhat happy,Environment/Climate change,Somewhat safe,Very unsafe,Somewhat satisfied,Once or twice a month,Not in any kind of relationship,Exclusive relationship with one other person
Female,Senior,None,No,Heterosexual,White,Business (BEO or econ),Yes,No,Domestic,No,Off campus,Strongly approve,Strongly approve,Somewhat dissatisfied,Pete Buttigieg,Very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Junior,None,No,Heterosexual,Asian,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat disapprove,Strongly disapprove,Somewhat dissatisfied,I am unsure,Somewhat happy,Current government leadership,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Do not know
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Strongly approve,No opinion,Somewhat dissatisfied,I am unsure,Very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Do not know
Female,Sophomore,"Grants, covering all costs",No,Heterosexual,"Hispanic, Black",Life sciences,No,Yes,Domestic,Yes,On campus,Somewhat approve,No opinion,Somewhat satisfied,I am unsure,Somewhat happy,Gap between rich and poor,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Sophomore,"Grants, covering all costs",No,Heterosexual,Asian,Life sciences,No,Yes,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Very dissatisfied,I am unsure,Not very happy,Current government leadership,Somewhat safe,Somewhat unsafe,Very unsatisfied,Once or twice a month,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,Asian,Life sciences,No,No,International,No,On campus,Somewhat approve,Somewhat approve,Somewhat dissatisfied,Andrew Yang,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Exclusive relationship with multiple people,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",No,Bisexual,"White, Asian",Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Joe Biden,Not very happy,Healthcare,Somewhat safe,Somewhat safe,Somewhat unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,None,No,Gay,Asian,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Very dissatisfied,Andrew Yang,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat satisfied,Once or twice a month,Casual hook-ups with multiple people,Consistent hook-ups with multiple people
Male,First-year,None,No,Heterosexual,Asian,Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,I am unsure,Very happy,Environment/Climate change,Very safe,Very safe,Very satisfied,Never,Not in any kind of relationship,Do not know
Female,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,International,No,On campus,Somewhat disapprove,No opinion,Somewhat dissatisfied,Bernie Sanders,Somewhat happy,Environment/Climate change,Somewhat safe,No opinion,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,No,No,Domestic,Yes,On campus,No opinion,No opinion,Somewhat dissatisfied,I am unsure,Somewhat happy,Gun control,Very unsafe,Very unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Business (BEO or econ)",No,No,International,No,On campus,No opinion,No opinion,Very dissatisfied,I am ineligible to vote,Not very happy,Healthcare,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Senior,"Grants, covering some costs",Yes,Heterosexual,White,"Humanities/arts, Business (BEO or econ)",No,No,Domestic,Yes,Off campus,Somewhat approve,Somewhat disapprove,Very dissatisfied,I am unsure,Very happy,Environment/Climate change,Very safe,Very safe,Somewhat satisfied,Never,Consistent hook-ups with one other person,Consistent hook-ups with one other person
Female,Junior,None,Yes,Heterosexual,White,Life sciences,No,No,Domestic,No,Off campus,Somewhat approve,Strongly disapprove,Very dissatisfied,Elizabeth Warren,Very happy,Environment/Climate change,Very safe,Somewhat safe,Somewhat satisfied,Never,Casual hook-ups with multiple people,Exclusive relationship with one other person
Male,Junior,None,No,Gay,Asian,"Physical sciences (incl. math, CS), Social sciences (not incl. BEO or econ)",No,No,Domestic,No,Off campus,No opinion,No opinion,Somewhat dissatisfied,Kamala Harris,Not very happy,Current government leadership,Somewhat safe,Somewhat safe,Somewhat satisfied,Once or twice a month,Consistent hook-ups with one other person,Exclusive relationship with one other person
Female,First-year,None,Yes,Heterosexual,Asian,Business (BEO or econ),No,No,Domestic,No,On campus,Strongly approve,Strongly approve,Somewhat satisfied,Joe Biden,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,International,No,On campus,Somewhat approve,Somewhat approve,Somewhat satisfied,Andrew Yang,Very happy,Gap between rich and poor,Somewhat unsafe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat dissatisfied,Pete Buttigieg,Somewhat happy,Gun control,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,First-year,"Grants, covering some costs",No,Heterosexual,"White, Asian",Humanities/arts,No,Yes,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Joe Biden,Not very happy,Environment/Climate change,Very safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,No opinion,No opinion,No opinion,Tim Ryan,Not very happy,Healthcare,Somewhat safe,Somewhat unsafe,Very unsatisfied,Once or twice a month,Not in any kind of relationship,Do not know
Female,First-year,"Grants, covering all costs",No,Heterosexual,Asian,"Humanities/arts, Life sciences, Social sciences (not incl. BEO or econ)",No,Yes,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Humanities/arts,No,Yes,Domestic,No,On campus,No opinion,No opinion,Very satisfied,Joe Biden,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat satisfied,Andrew Yang,Somewhat happy,Poverty/Homelessness,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Senior,"Grants, covering some costs",No,Heterosexual,White,Social sciences (not incl. BEO or econ),Yes,No,Domestic,No,On campus,Strongly approve,Somewhat disapprove,Very dissatisfied,Tulsi Gabbard,Somewhat happy,Healthcare,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Consistent hook-ups with one other person,Consistent hook-ups with one other person
Female,First-year,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,International,No,On campus,No opinion,No opinion,Somewhat satisfied,I am ineligible to vote,Somewhat happy,Gun control,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Do not know
Male,Junior,None,No,Gay,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,I am unsure,Very happy,Environment/Climate change,Very safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Junior,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Social sciences (not incl. BEO or econ)",No,Yes,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat dissatisfied,Bernie Sanders,Somewhat happy,Gap between rich and poor,Somewhat unsafe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Consistent hook-ups with one other person
Female,Sophomore,None,No,Heterosexual,Black,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Somewhat dissatisfied,Elizabeth Warren,Very happy,Immigration,Very safe,Very safe,Very satisfied,Daily,Casual hook-ups with multiple people,Exclusive relationship with one other person
Male,Junior,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat dissatisfied,Bernie Sanders,Very happy,Current government leadership,Somewhat unsafe,Somewhat safe,Somewhat unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Senior,"Grants, covering some costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,Bernie Sanders,Somewhat happy,Environment/Climate change,Very safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering some costs",Yes,Heterosexual,White,Business (BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,Somewhat disapprove,Somewhat dissatisfied,Joe Biden,Not very happy,Current government leadership,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Casual hook-ups with multiple people,Casual hook-ups with multiple people
Female,Sophomore,"Grants, covering some costs",Yes,Heterosexual,White,"Physical sciences (incl. math, CS)",No,Yes,Domestic,No,On campus,No opinion,No opinion,Very dissatisfied,I am unsure,Somewhat happy,Environment/Climate change,Somewhat unsafe,Somewhat unsafe,Somewhat unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Business (BEO or econ)",No,No,International,No,On campus,Strongly approve,Somewhat approve,Very satisfied,Joe Biden,Very happy,National debt,Very safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Junior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Bernie Sanders,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Very satisfied,Never,Consistent hook-ups with one other person,Consistent hook-ups with one other person
Female,Junior,"Grants, covering all costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,Strongly approve,Strongly approve,Somewhat satisfied,Elizabeth Warren,Very happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,Senior,"Grants, covering all costs",No,Heterosexual,Hispanic,Life sciences,No,Yes,Domestic,No,On campus,No opinion,Somewhat approve,Very dissatisfied,Bernie Sanders,Somewhat happy,Gap between rich and poor,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,First-year,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,International,No,On campus,No opinion,No opinion,Very dissatisfied,I do not plan on voting,Somewhat happy,Poverty/Homelessness,Very safe,Very safe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,Junior,None,No,Heterosexual,White,Business (BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,Somewhat disapprove,Somewhat satisfied,Andrew Yang,Somewhat happy,Other,Very safe,Very safe,Very unsatisfied,Never,Do not know,Do not know
Female,Senior,"Grants, covering some costs",Yes,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,Off campus,Somewhat approve,Strongly approve,Very dissatisfied,Joe Biden,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat safe,Very satisfied,Once or twice a month,Not in any kind of relationship,Not in any kind of relationship
Male,First-year,None,No,Heterosexual,White,Life sciences,No,No,International,No,On campus,Strongly approve,Strongly approve,No opinion,I am unsure,Somewhat happy,Unemployment,Somewhat safe,Somewhat safe,Somewhat satisfied,Once or twice a month,Casual hook-ups with multiple people,Exclusive relationship with one other person
Male,First-year,"Grants, covering all costs",Yes,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Very safe,Somewhat safe,Somewhat unsatisfied,Never,Casual hook-ups with multiple people,Casual hook-ups with multiple people
Male,First-year,"Grants, covering some costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Very satisfied,Beto O'Rourke,Very happy,Environment/Climate change,Very safe,Very safe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,White,"Life sciences, Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,I am unsure,Very happy,Gun control,Somewhat safe,Somewhat safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Junior,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,Domestic,Yes,On campus,Strongly disapprove,No opinion,Very dissatisfied,Joe Biden,Very happy,Environment/Climate change,Somewhat safe,Very unsafe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,"Humanities/arts, Life sciences",No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat satisfied,Joe Biden,Very happy,Gun control,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Consistent hook-ups with one other person
Female,First-year,"Grants, covering some costs",No,Bisexual,"Hispanic, Black","Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat satisfied,Elizabeth Warren,Somewhat happy,Gap between rich and poor,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Other,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,International,No,On campus,Somewhat disapprove,Strongly approve,Somewhat satisfied,Bernie Sanders,Somewhat happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Casual hook-ups with multiple people
Female,Senior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS), Social sciences (not incl. BEO or econ)",No,No,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Somewhat satisfied,Cory Booker,Somewhat happy,Environment/Climate change,Very safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Senior,None,No,Heterosexual,White,"Business (BEO or econ), Social sciences (not incl. BEO or econ)",No,No,Domestic,No,Off campus,Somewhat approve,No opinion,Somewhat dissatisfied,Pete Buttigieg,Somewhat happy,Environment/Climate change,Very safe,Very safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",Yes,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,Elizabeth Warren,Very happy,Gap between rich and poor,Somewhat unsafe,Somewhat safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Junior,None,No,Heterosexual,Other,"Physical sciences (incl. math, CS)",No,No,International,Yes,Off campus,Somewhat disapprove,No opinion,Very dissatisfied,I am ineligible to vote,Somewhat happy,Other,Somewhat safe,Somewhat unsafe,Somewhat unsatisfied,Daily,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering all costs",No,Heterosexual,"White, Black",Life sciences,No,Yes,Domestic,No,On campus,No opinion,No opinion,Very satisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Senior,None,No,Heterosexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",Yes,No,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Somewhat dissatisfied,Elizabeth Warren,Very happy,Environment/Climate change,Somewhat unsafe,Very unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,First-year,None,No,Heterosexual,Asian,Life sciences,No,No,International,No,On campus,No opinion,No opinion,Somewhat dissatisfied,I am unsure,Somewhat happy,Gun control,Somewhat unsafe,Very unsafe,Somewhat satisfied,Daily,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Sophomore,None,Yes,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Andrew Yang,Somewhat happy,Gun control,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Senior,"Grants, covering all costs",No,Bisexual,Black,Social sciences (not incl. BEO or econ),No,Yes,Domestic,No,Off campus,Somewhat disapprove,Somewhat approve,Unsure,I am unsure,Not at all happy,Current government leadership,Very safe,Very safe,Very satisfied,Never,Casual hook-ups with multiple people,Exclusive relationship with one other person
Male,Senior,None,No,Heterosexual,White,Humanities/arts,Yes,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,Bernie Sanders,Somewhat happy,Current government leadership,Very safe,Very safe,Very satisfied,Once or twice a month,Casual hook-ups with multiple people,Do not know
Female,Senior,"Grants, covering all costs",No,Bisexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,Off campus,Strongly approve,Strongly approve,Very satisfied,Bernie Sanders,Don't know,Current government leadership,Somewhat unsafe,Somewhat unsafe,Very satisfied,Once a week,Not in any kind of relationship,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Black,Life sciences,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat dissatisfied,Kamala Harris,Somewhat happy,Poverty/Homelessness,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Consistent hook-ups with one other person
Female,First-year,"Grants, covering some costs",No,Bisexual,Asian,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Elizabeth Warren,Not very happy,Race relations/Racism,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Consistent hook-ups with multiple people
Male,Sophomore,None,No,Heterosexual,White,"Life sciences, Business (BEO or econ)",No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Very dissatisfied,Elizabeth Warren,Somewhat happy,Gun control,Very safe,Somewhat safe,Somewhat unsatisfied,Two to three times a week,Not in any kind of relationship,Exclusive relationship with multiple people
Female,Junior,"Grants, covering all costs",No,Gay,Black,Business (BEO or econ),No,Yes,Domestic,No,On campus,No opinion,No opinion,Unsure,I am unsure,Don't know,Race relations/Racism,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Sophomore,None,Yes,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,International,No,On campus,Somewhat approve,Somewhat approve,Somewhat satisfied,Joe Biden,Very happy,Gun control,Somewhat safe,Somewhat safe,Somewhat satisfied,Once or twice a month,Casual hook-ups with multiple people,Do not know
Female,Sophomore,"Grants, covering all costs",Yes,Heterosexual,"White, Asian","Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,No opinion,Strongly approve,Very satisfied,I am unsure,Somewhat happy,Gun control,Very safe,Somewhat safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,Yes,Domestic,No,On campus,No opinion,No opinion,Very dissatisfied,I am unsure,Very happy,National debt,Very safe,Somewhat safe,Very satisfied,Never,Consistent hook-ups with one other person,Consistent hook-ups with one other person
Male,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat dissatisfied,I am unsure,Somewhat happy,Environment/Climate change,Very safe,Very safe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Junior,None,No,Heterosexual,"White, Asian","Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,Somewhat approve,No opinion,Very dissatisfied,Joe Biden,Very happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Junior,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Business (BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Cory Booker,Don't know,Environment/Climate change,Somewhat unsafe,Very safe,Unsure,Two to three times a week,Do not know,Do not know
Female,Sophomore,None,No,Other,"White, Asian",Life sciences,No,No,Domestic,Yes,On campus,Strongly approve,Somewhat disapprove,Very dissatisfied,Joe Biden,Very happy,Environment/Climate change,Somewhat safe,Somewhat safe,Somewhat unsatisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,None,No,Heterosexual,Asian,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,International,No,On campus,No opinion,No opinion,Very dissatisfied,I am ineligible to vote,Not very happy,Current government leadership,Somewhat safe,Somewhat unsafe,Somewhat satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Male,Junior,"Grants, covering all costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,No opinion,No opinion,No opinion,Bernie Sanders,Somewhat happy,Environment/Climate change,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Exclusive relationship with one other person,Consistent hook-ups with multiple people
Female,Sophomore,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,Strongly approve,Strongly approve,Somewhat satisfied,Pete Buttigieg,Very happy,Poverty/Homelessness,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Junior,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,Yes,On campus,No opinion,No opinion,Very dissatisfied,Beto O'Rourke,Very happy,Other,Somewhat unsafe,Somewhat unsafe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,First-year,None,No,Heterosexual,White,"Physical sciences (incl. math, CS), Social sciences (not incl. BEO or econ)",No,No,International,No,On campus,No opinion,No opinion,Somewhat satisfied,I am ineligible to vote,Very happy,Current government leadership,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,First-year,None,No,Gay,Asian,Humanities/arts,No,No,International,No,On campus,Somewhat approve,Somewhat approve,Somewhat dissatisfied,Elizabeth Warren,Not at all happy,Current government leadership,Somewhat safe,Somewhat unsafe,Somewhat unsatisfied,Never,Not in any kind of relationship,Casual hook-ups with multiple people
Male,First-year,None,No,Heterosexual,Asian,Business (BEO or econ),No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat dissatisfied,Pete Buttigieg,Very happy,Poverty/Homelessness,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No,On campus,Strongly disapprove,No opinion,Very dissatisfied,Andrew Yang,Somewhat happy,Current government leadership,Somewhat safe,Somewhat safe,Very unsatisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Male,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS), Business (BEO or econ)",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat satisfied,Elizabeth Warren,Very happy,Current government leadership,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Exclusive relationship with one other person,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering some costs",No,Bisexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat dissatisfied,Elizabeth Warren,Very happy,Race relations/Racism,Somewhat safe,Somewhat safe,Somewhat satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Senior,"Grants, covering all costs",No,Heterosexual,American Indian/Alaska Native,Life sciences,No,Yes,Domestic,No,Off campus,Somewhat approve,No opinion,Somewhat dissatisfied,Joe Biden,Very happy,Healthcare,Somewhat unsafe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Male,Sophomore,"Grants, covering all costs",No,Heterosexual,Black,"Physical sciences (incl. math, CS)",No,Yes,Domestic,No,On campus,Strongly disapprove,Somewhat disapprove,Very dissatisfied,Elizabeth Warren,Not very happy,Gap between rich and poor,Somewhat safe,Somewhat safe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Sophomore,"Grants, covering all costs",No,Heterosexual,Hispanic,Humanities/arts,No,Yes,Domestic,No,On campus,Somewhat approve,Somewhat approve,Very dissatisfied,Joe Biden,Somewhat happy,Current government leadership,Somewhat safe,Somewhat unsafe,Very satisfied,Never,Not in any kind of relationship,Exclusive relationship with one other person
Female,Junior,"Grants, covering some costs",No,Other,White,"Humanities/arts, Physical sciences (incl. math, CS)",Yes,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Gap between rich and poor,Very safe,Somewhat safe,Somewhat unsatisfied,Never,Not in any kind of relationship,Not in any kind of relationship
Female,Sophomore,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat dissatisfied,Elizabeth Warren,Somewhat happy,Environment/Climate change,Somewhat unsafe,Somewhat unsafe,Somewhat satisfied,Once or twice a month,Not in any kind of relationship,Exclusive relationship with one other person
